name,latitude,longitude
Addatorata Village,42.0854,-87.5625
Alpine,41.3511,-87.5253
Alsip,41.4008,-87.4419
Altgeld Gardens,41.3916,-87.3607
Arlington Heights,42.0518,-87.585
Barrington,42.0914,-88.081
Barrington Hills,42.0841,-88.092
Barrington Woods,42.0908,-88.0321
Bartlett,41.5942,-88.1108
Bedford Park,41.4546,-87.48
Bellwood,41.5253,-87.5259
Berkeley,41.532,-87.5412
Bernice,41.3445,-87.3253
Berwyn,41.5102,-87.4737
Blue Island,41.3926,-87.4048
Braeside,42.0909,-87.462
Bridgeview,41.45,-87.4815
Broadview,41.515,-87.5112
Brookfield,41.4926,-87.5106
Buffalo Grove,42.0905,-87.5735
Burnham,41.382,-87.3324
Burnside,41.4313,-87.3553
Calumet City,41.3656,-87.3146
Calumet Park,41.3946,-87.3938
Carpentersville,42.0716,-88.1528
Chicago,41.51,-87.39
Chicago Heights,41.3022,-87.3808
Chicago Ridge,41.4205,-87.4645
Cicero,41.5044,-87.4514
Clearing,41.4641,-87.4542
Country Club Hills,41.3405,-87.4313
Countryside,41.4658,-87.5241
Crawford Countryside,41.3115,-87.4248
Crestwood,41.394,-87.4509
Des Plaines,42.02,-87.53
Dixmoor,41.3754,-87.3939
Dolton,41.382,-87.3626
Dunning,41.571,-87.4747
East Chicago Heights,41.3023,-87.353
East Hazel Crest,41.3425,-87.3847
East Side,41.4244,-87.3155
Elgin,42.0214,-88.1652
Elk Grove,41.5954,-88.0013
Elk Grove Village,42.0014,-87.5813
Elmwood Park,41.5516,-87.4833
Elsdon,41.4737,-87.4318
Englewood,41.4647,-87.3845
Evanston,42.0228,-87.4124
Evergreen Park,41.4314,-87.4206
Fernway Park,41.3513,-87.4948
Flossmoor,41.3234,-87.4105
Flossmoor Highlands,41.3246,-87.4248
Forest Park,41.5246,-87.4849
Forest View,41.4831,-87.4736
Franklin Park,41.5607,-87.5156
Glencoe,42.0806,-87.4529
Glenn,41.4817,-87.4639
Glenview,42.0411,-87.4716
Glenwood,41.3233,-87.3608
Goeselville,41.3727,-87.4706
Golf,42.0332,-87.4733
Gross Point,42.0444,-87.4321
Harvey,41.3636,-87.3848
Harwood Heights,41.5802,-87.4827
Hastings,41.4052,-87.5818
Hazel Crest,41.3418,-87.414
Hazelgreen,41.41,-87.4424
Hegewisch,41.3913,-87.3249
Hickory Hills,41.4332,-87.493
Hillside,41.524,-87.541
Hines,41.5113,-87.5022
Hodgkins,41.4608,-87.5128
Hoffman Estates,42.0234,-88.0447
Hometown,41.4404,-87.4353
Homewood,41.3326,-87.3956
Hubbard Woods,42.0656,-87.4434
Indian Head Park,41.4613,-87.5408
Indian Hill,41.3006,-87.3852
Inverness,42.0705,-88.0546
Justice,41.444,-87.5016
Kenilworth,42.0509,-87.4303
Kensington,41.4041,-87.3626
La Grange,41.4818,-87.5209
La Grange Park,41.5005,-87.5142
Lansing,41.3353,-87.322
Lemont,41.4025,-88.0006
Lincolnwood,42.0016,-87.4348
Lynwood,41.3135,-87.3219
Lyons,41.4848,-87.4905
Market Place,42.0246,-87.5621
Markham,41.3537,-87.4141
Matteson,41.3014,-87.4247
Maywood,41.5245,-87.5035
McCook,41.4752,-87.5041
McCormick Place,41.511,-87.3642
Melrose Park,41.5402,-87.5124
Merrionette Park,41.4103,-87.4201
Middlebury,42.0839,-88.1417
Midlothian,41.3731,-87.4303
Morton Grove,42.0226,-87.4657
Mount Prospect,42.0359,-87.5614
Niles,42.0108,-87.481
Norridge,41.5748,-87.4938
North Northfield,42.0818,-87.5253
North Riverside,41.5034,-87.4923
Northbrook,42.0739,-87.4944
Northfield,42.0559,-87.4651
Northlake,41.5502,-87.5344
Oak Forest,41.361,-87.4438
Oak Lawn,41.4315,-87.4515
Oak Park,41.5306,-87.4704
Oakglen,41.3347,-87.333
Olympia Fields,41.3048,-87.4027
Orland Park,41.3749,-87.5114
Palatine,42.0637,-88.0203
Palos Heights,41.4005,-87.4747
Palos Hills,41.4148,-87.4901
Palos Park,41.4002,-87.4949
Park Ridge,42.004,-87.5026
Phoenix,41.364,-87.3805
Posen,41.3754,-87.4053
Prospect Heights,42.0543,-87.5615
Pullman,41.4134,-87.3621
Richton Park,41.2904,-87.4212
River Forest,41.5352,-87.485
River Grove,41.5533,-87.5009
Riverdale,41.38,-87.3759
Riverside,41.5006,-87.4922
Robbins,41.3838,-87.4213
Rolling Meadows,42.0503,-88.0047
Rosemont,41.5943,-87.5304
Sag Bridge,41.4118,-87.5559
Santa Fe Park,41.4327,-87.5416
Sauganash,41.5924,-87.4432
Sauk Village,41.2918,-87.3403
Schaumburg,42.02,-88.05
Schiller Park,41.5721,-87.5215
Schrum,41.3604,-87.3256
Skokie,42.02,-87.44
South Barrington,42.0529,-88.0718
South Chicago,41.4322,-87.3211
South Chicago Heights,41.2851,-87.3816
South Deering,41.4132,-87.333
South Holland,41.3603,-87.3625
Southmoor,41.3909,-87.4947
Spaulding,42.001,-88.1407
Staples Corner,42.0821,-88.0118
Steger,41.2812,-87.3811
Stickney,41.4917,-87.4658
Stone Park,41.542,-87.5301
Stony Island,41.4321,-87.343
Streamwood,42.0132,-88.1042
Summit,41.4717,-87.4837
Sunny Crest,41.3209,-87.4138
Thornton,41.3405,-87.3629
Thornton Junction,41.3521,-87.3625
Tinley Park,41.3424,-87.4704
West Pullman,41.4046,-87.3831
Westchester,41.5102,-87.5255
Western Springs,41.4835,-87.5402
Westhaven,41.3507,-87.5035
Wheeling,42.0821,-87.5544
Willow Springs,41.4427,-87.5137
Wilmette,42.042,-87.4322
Winnetka,42.0629,-87.4409
Worth,41.4123,-87.475
